Mark Sequence Malloc     Size       Addr Line File
   6    43917 new        4320 0x016F3900  224 \support\shape\shapebinfile.cpp
   6    43919 new         112 0x0152FB98  323 \support\shape\shapemanager.cpp
   6    43920 new        6272 0x016F4A68  224 \support\shape\shapebinfile.cpp
   6    43922 new         112 0x0152FC90  323 \support\shape\shapemanager.cpp
   6    43923 new        4288 0x016F6370  224 \support\shape\shapebinfile.cpp
   6    43925 new         112 0x0152FD88  323 \support\shape\shapemanager.cpp
   6    43926 new       14784 0x016F74B8  224 \support\shape\shapebinfile.cpp
   6    43928 new         112 0x0152FE80  323 \support\shape\shapemanager.cpp
   6    43929 new        8768 0x016FAF00  224 \support\shape\shapebinfile.cpp
   6    43931 new         112 0x0167CCD0  323 \support\shape\shapemanager.cpp
   6    43932 new       15104 0x016FE210  224 \support\shape\shapebinfile.cpp
   6    43934 new         112 0x0167CDC8  323 \support\shape\shapemanager.cpp
   6    43935 new       13760 0x01701D98  224 \support\shape\shapebinfile.cpp
   6    43937 new         112 0x0167CEC0  323 \support\shape\shapemanager.cpp
   6    43938 new       12096 0x017053E0  224 \support\shape\shapebinfile.cpp
   6    43940 new         112 0x0167CFB8  323 \support\shape\shapemanager.cpp
   6    43941 new        6976 0x017083A8  224 \support\shape\shapebinfile.cpp
   6    43943 new         112 0x0167D0B0  323 \support\shape\shapemanager.cpp
   6    43944 new        6080 0x01709F70  224 \support\shape\shapebinfile.cpp
   6    43946 new         112 0x0167D1A8  323 \support\shape\shapemanager.cpp
   6    43947 new        7248 0x0170B7B8  224 \support\shape\shapebinfile.cpp
   6    43949 new         112 0x0167D2A0  323 \support\shape\shapemanager.cpp
   6    43950 new       42928 0x0170D490  224 \support\shape\shapebinfile.cpp
   6    43952 new         112 0x0167D398  323 \support\shape\shapemanager.cpp
   6    43953 new       42592 0x01717CC8  224 \support\shape\shapebinfile.cpp
   6    43955 new         112 0x0167D490  323 \support\shape\shapemanager.cpp
   6    43956 new       71008 0x017223B0  224 \support\shape\shapebinfile.cpp
   6    43958 new         112 0x01733998  323 \support\shape\shapemanager.cpp
   6    43959 new        2112 0x01733A90  224 \support\shape\shapebinfile.cpp
   6    43961 new         112 0x0167D588  323 \support\shape\shapemanager.cpp
   6    43962 new        7872 0x01734358  224 \support\shape\shapebinfile.cpp
   6    43964 new         112 0x0167D680  323 \support\shape\shapemanager.cpp
   6    43965 new        3584 0x017362A0  224 \support\shape\shapebinfile.cpp
   6    43967 new         112 0x0167D778  323 \support\shape\shapemanager.cpp
   6    43968 new        1984 0x01737128  224 \support\shape\shapebinfile.cpp
   6    43970 new         112 0x0167D870  323 \support\shape\shapemanager.cpp
   6    43971 new        1984 0x01737970  224 \support\shape\shapebinfile.cpp
   6    43973 new         112 0x0167D968  323 \support\shape\shapemanager.cpp
   6    43974 new        1856 0x017381B8  224 \support\shape\shapebinfile.cpp
   8    43977 ------ -------- ---------- ---- ----UI
   8    43978 new           1 0x003A9990  144 rojects\aads\aads\missionio.cpp
   9    43979 ------ -------- ---------- ---- ----HUD
   9    43980 new           1 0x01275FD8  153 rojects\aads\aads\missionio.cpp
  10    43981 ------ -------- ---------- ---- ----StringTable
  10    43982 new          12 0x01281FD8  109 support\stringmgr\stringmgr.cpp
  10    43983 malloc     1236 0x01264068   58 support\stringmgr\stringmgr.cpp
  10    43985 new          12 0x003A9F20  109 support\stringmgr\stringmgr.cpp
